algorithm,pop_size,n_gen,crossover_prob,mutation_prob,seed,hv,gd,n_solutions
hybrid_no_repair,70,200,0.8,0.8,3,78.55173663233077,0.0,61
hybrid_no_repair,70,200,0.8,0.8,4,106.55280813048492,0.0,29
hybrid_no_repair,70,200,0.8,0.8,5,192.21912195845573,0.0,54
hybrid_no_repair,70,200,0.8,0.8,6,195.90780207634842,0.0,46
hybrid_no_repair,70,200,0.8,0.8,7,233.95677413707907,0.0,66
hybrid_no_repair,70,200,0.8,0.8,8,80.15924193605721,0.0,46
hybrid_no_repair,70,200,0.8,0.8,9,294.1098502875054,0.0,59
hybrid_no_repair,70,200,0.8,0.8,10,31.90210339117677,0.0,33
hybrid_no_repair,70,200,0.9,0.5,1,71.17827330305673,0.0,46
hybrid_no_repair,70,200,0.9,0.5,2,68.0157149715903,0.0,32
hybrid_no_repair,70,200,0.9,0.5,3,94.34098930463873,0.0,43
hybrid_no_repair,70,200,0.9,0.5,4,94.57107035464006,0.0,46
hybrid_no_repair,70,200,0.9,0.5,5,82.16798826681848,0.0,27
hybrid_no_repair,70,200,0.9,0.5,6,97.39797731356407,0.0,52
hybrid_no_repair,70,200,0.9,0.5,7,64.81482823664602,0.0,49
hybrid_no_repair,70,200,0.9,0.5,8,124.79165764763408,0.0,35
hybrid_no_repair,70,200,0.9,0.5,9,203.06607022585092,0.0,67
hybrid_no_repair,70,200,0.9,0.5,10,114.97300285558583,0.0,50
hybrid_no_repair,70,200,0.9,0.8,1,42.10891383189729,0.0,29
hybrid_no_repair,70,200,0.9,0.8,2,60.554628922936175,0.0,36
hybrid_no_repair,70,200,0.9,0.8,3,161.45747386142648,0.0,46
hybrid_no_repair,70,200,0.9,0.8,4,189.70174173918957,0.0,34
hybrid_no_repair,70,200,0.9,0.8,5,125.82764795954445,0.0,70
hybrid_no_repair,70,200,0.9,0.8,6,100.22846580606057,0.0,32
hybrid_no_repair,70,200,0.9,0.8,7,70.04957174529781,0.0,44
hybrid_no_repair,70,200,0.9,0.8,8,113.0062063592969,0.0,34
hybrid_no_repair,70,200,0.9,0.8,9,89.68298494008803,0.0,58
hybrid_no_repair,70,200,0.9,0.8,10,50.95843199933654,0.0,36
hybrid_no_repair,100,100,0.8,0.5,1,183.50953839294576,0.0,31
hybrid_no_repair,100,100,0.8,0.5,2,108.0635448624089,0.0,20
hybrid_no_repair,100,100,0.8,0.5,3,60.11548944842096,0.0,23
hybrid_no_repair,100,100,0.8,0.5,4,43.133969256853774,0.0,19
hybrid_no_repair,100,100,0.8,0.5,5,138.14946783272453,0.0,39
